,info,specification,self_intro
0, 일반 ,수도권 / 무역 / 학점 3.8 / 토익스피킹 레벨 6 / 대외활동,"
힘든 일, 힘이 되는 말, 대학교, 겨울 방학, 일용직 아르바이트, 등록금, 등록금 납부기간, 단과대, 학생회장, 친구, 장학금, 간부, 직무수행, 장학금 받음, 장학금 받지 않음, 양심, 가책, 휴학, 선택, 당당함, 자신감"
0, H&A 사업부 ,"성균관대학교 / 전자전기공학부 / 학점 3.86 / 오픽 IH / 대외활동(봉사활동, 취업동아리, 전공동아리, 반도체 공정 교육이수) 공모전(교내 캡스톤 디자인 공모전 수상, 팀플의 노하우 공모전 수상)","
1. Circuit design
2. Analog/Digital circuit
3. Microelectronics
4. Verilog/VHDL
5. Cadence tool
6. Semiconductor layout
7. Project management
8. Problem-solving
9. Adaptability
10. Self-development"
0, - ,"과기원 / 기계 / 학점 3.62 / 토스 레벨7 / 연구인턴 1, 봉사활동 1","
자동차, 자동차 산업, 안전성, 센서, 모터, 인포테인먼트, IoT, 자율주행, 전장부품, 연구개발"
0,화약 ,서성한 / 화학 / 학점 3.79 / 토익 875 / 삼성 인턴,"4. 갈등 극복 사례
저는 그들의 장점을 잘 발휘할 수 있도록 하고, 학우들과 같이 연습하며 서로를 이해하게 되었습니다. 그 결과 발표 당일 중국학우들은 주연으로 해주게 되었고, 이를 통해 사람과의 관계를 잘 조율하며 갈등을 극복하는 방법을 배울 수 있었습니다. 이러한 경험을 바탕으로 한화/화약에서도 조직 내 갈등이 발생했을 때 원활한 의사소통을 통해 함께 목표를 이루어나갈 수 있는 인재가 되겠습니다. "
0, 연구개발 ,기계 / 학점 3.6 / 토익900,"
열시디, 프로젝트, 가스터빈, Rankine사이클, 열교환기, 설계, 핀의 열전달률, 열교환기 외부, 유동, 물의 유량"
0, DS부문 메모리사업부 ,성대 / 신소재 / 학점 3.5 / 오픽 IM2,"
삼성전자, 자아실현, 배움, 나눔, 인재양성, Framework, IT교육, 삼성 스마트 스쿨, 삼성 나눔 빌리지, 지향점"
0, 안전환경 ,,"
1. 안전관리, 2. 무재해, 3. 현장 관리, 4. 안전경영, 5. 사전 점검, 6. 사후 대책, 7. 팀워크, 8. 리더십, 9. 결정력, 10. 커뮤니케이션"
0, 행정사무 ,"순천향대학교 / 학점 3.41 / 토익 855 / 국민건강보험공단 체험형 인턴(2019 하반기), 관공서 아르바이트 1회, 컴퓨터활용능력 1급, 한국사 1급","
성장, 인턴, 제도 신청, 장기요양인정서, 발급, 민원, 상담, 장애지원서비스, 국민연금공단, 소득보장"
0, 생산관리 ,"한양대학교 / 생명과 / 학점 4.06 / 토익 870, 토스 레벨6 / 봉사활동 1회, 교환학생 1회","
1. 고객 중심 마인드, 2. 생산 관리능력, 3. 전문지식, 4. 위생관리, 5. 원활한 소통능력, 6. 원활한 관계 유지, 7. 다국적 소통 능력, 8. 문제 해결능력, 9. 업무 노하우, 10. 협력과 이해의 자세"
0, Food Sales ,국숭세단 / 상경 / 학점 4.19 / 토익 870 / 대외활동 3회,"
CJ제일제당, 성장 가능성, 식품업계 1위, 트렌드 예측, 가정 간편식 브랜드, 햇반, 비비고, 고메, HRM 시장, 마케팅, 인구통계"
0, 전기통신 ,"광운대 / 전기공학과 / 학점 3.62 / 토익스피킹: 150/레벨 6 / 사회생활 경험: 광운대학교 산학협력단 청년 TLO 6개월 / 한국사검정시험: 고급, 기타: 전기공사기사","
conflict resolution, communication, teamwork, adaptability, leadership, problem-solving, time management, active listening, empathy, collaboration"
0, - ,,"
유니클로, 개인성장잠재력, 실력평가, 보상, 자기계발, 영업전문가, 균등한기회, 아이템다루기, 비전, 세계시장선도"
0, - ,지방 사립대 / 학점 4.06 / 토익스피킹 레벨7,"
삼성취업, 대학교육, 공정분석, 개선, 생산경영, 서비스운영공학, 제품개발론, 생산관리, 효율성, 소통능력"
0, - ,"고려대학교 / 교육학과 / 학점 3.42 / 토익 880, 오픽 IH / 인턴1회, 교육봉사활동3회, 뚜레주르 아르바이트","
""CS, HRD, 교육, 서비스 디자인, 관리사, 고객 만족, 이슈 대응, 문제 해결, 성장, 고객 응대"" "
0, ds 연구개발 ,지거국 / 전자공학 / 학점 3.64 / 토익 840 / 봉사활동 2회,"
Teamwork, Communication, Problem Solving, Adaptability, Time Management, Multitasking, Critical Thinking, Programming, Web Development, Database Management"
0, 설계 ,지방 사립 / 전기 / 학점 4점대 / 토익 800대,"
전기안전 시험, 인증 제도, 전기기사, 전기공사기사, 전기기계 기구, 규격, 안전점검, 시험작동, 계측 장비, 기술 정보"
0, 마케팅 ,"경기권 / 학점 3.5 / 토익750, 토익스피킹 160 / 인턴 2, 대외활동 5","
1. 자료제작 능력
2. 기획력
3. 커뮤니케이션 능력
4. 그래픽 기술
5. 시장분석
6. 수치 조사
7. 피드백 수용 능력
8. PPT 제작 실력
9. 기초 학습 능력
10. 창의성"
0, 자원조사 6급 ,"지방국립대 / 환경 / 학점 4.2 / 토익: 640, 토익스피킹: , 오픽: , 기타: / 사회생활 경험: 인턴 2회 / 대외활동 / 한국사검정시험: 고급, 컴퓨터활용능력: 2급, 기타: 환경기사 3개","
환경조사, 생물 분류, 환경 분석, GIS, 생태 조성, 생물 보호, 환경정화, 보고서 관리, 장비 관리, 생태계 조사"
0, R&D ,"서성한 / 컴퓨터공학과 / 학점 3.4 / 토익 900, 토익스피킹 레벨 6 / 대형면허","
teamwork, communication, problem-solving, leadership, user needs, service development, motion recognition, developer, IT specialist, user experience"
0, ict일반,"서울 중상위 / 학점 4점 초반 / 토익 965, 토스 lv7","
""실행형인간, 회복 탄력성, 비판 수용, 심호흡, 검토, 조언 수용, 활동적, 바로 실행, 완결, 적극적"""
0, 현장마케팅 ,"수도권대학 / 경영 / 학점 3.8 / 오픽 IH / 중견기업 인턴, 어학연수, 봉사활동 다수, 공모전 수상 1회","
Marketing, Teamwork, Communication, Problem-solving, Leadership, Time management, Project management, Collaboration, Conflict resolution, Strategic thinking"
0, 생명 ,서울4년제 / 경제 / 학점 3.96 / 토익 770,"
연탄봉사, 해외봉사, 조직력, 커뮤니케이션, 협업, 봉사활동, 감사, 따뜻한 마음, 주민, 노력"
0, 영업관리 ,서성한 / 상경 / 학점 4 / 토익 935,"
1. Customer-oriented thinking
2. Data analysis
3. Communication skills
4. Speed and accuracy
5. Big data analysis
6. Service strategy planning
7. Creativity
8. Global mindset
9. Market trend analysis
10. Multicultural understanding"
0, 사무_법정 ,"성결대 / 행정학 / 학점 3.8 / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타: 워드","
인사능력, 프로젝트관리능력, 경영기획능력, 사무행정능력, 행정학개론, 조직론, 기획론, 인사 및 재무행정론, 갈등관리및협상론, 정책분석, 정책평가론, 컴퓨터 활용능력, 엑셀, 액세스, 컴퓨터 활용능력 1급 자격증, 조직문화, 의사소통능력"
0, 사무직 인턴 ,"동국대학교 / 경영학과 / 학점 3.5 / 토익 : 800 / 리디북스 재무팀 / 한국사검정시험 : 고급, 컴퓨터활용능력 : 1급, 재경관리사","

 사회적 가치 실현, ESG 경영, 사회적 의무, 정책 수립, 환경 보호, 이미지 개선, 재무 관리, 비재무적 방안, 봉사 활동, 상생"
0, MC ,서성한 / 기계과 / 학점 3점 중반 / 토익스피킹 레벨 6 / 대외활동 1회,"
LG전자, V30, 신기술, 그립감, 곡면 처리, MC사업부, 기구설계, 기술력, 감성, 협업능력"
0, 서비스 ,서울 4년제 / 비상경 / 학점 3.9 / 토익 925,"
환경 오염, 지구 온난화, 친환경, 지속가능발전, 지속가능경영, 사막에나무심기 활동, 탄소 배출 줄이기, 친환경 호텔, 친환경 소재, 착한실천"
0, 사무영업 ,"충남대학교 / 학점 3.6 / 토익 965, 오픽 AL, 신HSK 4급 / 교환학생, 교내대의원, 한국사능력검정시험 1급","
팀워크, 협업, 분담, 목표달성, 의사소통, 조율, 문제해결, 책임감, 리더십, 배려"
0, 트레이딩 영업 ,"중경외시 / 어문계열 / 학점 3.6 / 토익 960, 오픽 AL / 인턴1회, 교육1회, 어학연수 1회","
1. Adaptability, Teamwork, Multitasking
2. Innovation, Problem-solving, Strategic thinking
3. Trading, Market analysis, Research, Curiosity, Fast learner"
0, 생산기술 ,"성균관 / 시스템경영공학/기계 / 학점 3.06 / 토익 870, 토스 lv.6","
system management engineering, project management, optimization, data analysis, challenge, passion, engineering mathematics, technical strategy, technical innovation, leadership"
0, 건설 사업부 -기계시공 ,기계공학과,"
고체역학, 열역학, 동역학, 진동학, 유체역학, 제어, 통계, 6 Sigma, 조장, 책임감"
0, 건축 ,지방국립대 / 건축공학과 3.7 / 학점 3.7 / 토익 700,"
planning, systematic, prioritization, problem-solving, good results, understanding, technology, development skills, key skills, summary"
0, 기술 ,"동국대 / 원자력에너지 / 학점 3.54/4.5 / 토익: 830 / 캡스톤 경진대회,트라이볼리지연구실,제염해체 로봇 경진대회,2018학년도 특성화사업 학생 우수참여 사례 공모전 우수상 / 한국사검정시험: 고급","
energy management, electric power, renewable energy, maintenance, power grid, fault prediction, data analysis, control system, power plant, project management"
0, ICT ,"아주대학교 / 컴퓨터공학 / 학점 3.82/4.5 / 오픽 IH / 인턴 1회, 공모전 1회","

소통, 중재, 의견 조율, 팀워크, 팀장, 리더십, 논의, 문제해결능력, 의사소통능력, 협업"
0, 증권형 프로젝트 매니저 ,"아주대 / 경제학, 정치외교학 / 학점 4.25/4.5 / 토익: 735, 토익스피킹: 120/레벨5 / 사회생활 경험: 비영리단체) 수원청년창업가네트워크 대표 1년 / 경기도 청년 공동체활동 지원사업 , 매산동 청년기살리기 프로젝트","
프로젝트 매니저, 창업가, 공동의 문제 해결, 해결책 찾기, 창업 생태계, 주 활동 무대 서울, 창업가 교육, 네트워크, 엑셀러레이팅, 사회적 기업, 크라우드 펀딩, 리워드형, 투자형, 금융 전문가, 크라우디, 전문적인 경험"
0, - ,,"
아르바이트, 경험, 세일즈, 고객 중심, 현장, 중소기업진흥공단, 인터넷 방송, 경제 불안정, 시장 변화, 글로벌 도전"
0, 해외영업 ,중경외시 / 국제학 / 학점 3.42 / 토스 7 / 인턴 경험 2회 / 국내*해외봉사활동 다수 / 스타트업 및 비영리민간단체 설립,"
challenging attitude, entrepreneurship, risk-taking, listening, teamwork, leadership, strategic thinking, planning, coordination, communication"
0, IT ,"서울 4년제 / 컴퓨터공학 / 학점 3.67 / 토익 795 , 토익스피킹 레벨6 / 인턴 1회","
즐기는 사람, 발전 가능성, 적응, 프로그래밍, 코드, 문법, 언어, 프로젝트, 한이음IT 멘토링, 발전"
0, 생산 ,"지방대 / 기계과 / 학점 3.4 / 토익 785, 토스 130 / 봉사활동 1회, 인턴 1회","
1. 기계공학
2. 자동제어
3. 텀프로젝트
4. 현장실습
5. 성취감
6. 이론지식
7. 습득
8. 제품활용
9. 호기심
10. 원동력"
0, 공정통합 ,서울 중위권 / 전자공학 / 학점 4.4 / 토익 840,"
1. 목표 설정 및 계획 수립
2. 자발적으로 노력하는 자세
3. 문제 해결능력
4. 디바이스 제작 및 구현 능력
5. 실제 디바이스를 통한 실험 능력
6. 엑셀 이용 및 데이터 분석 능력
7. 창의적인 아이디어 제시 능력
8. 음성인식 기술 이해 및 구현 능력
9. 프로그래밍 언어에 대한 이해도
10. 실행과정에서의 문제 해결 능력"
0, 마케팅 ,인서울 / 경영 / 학점 4.2 / 토익 960 / 대외활동 4회,"
학습적 측면: 시장분석, 데이터 분석, 프로모션 기획, 커뮤니케이션, 경영 전공, 팀플레이, 창업 경험, 컨설팅, 대외활동 운영, 기획 경험
"
0, 영업관리 ,중경외시 / 경영 / 학점 3.61 / 토익 840,"
삼성, 지원, 입사, 꿈, 보험, 인재관리, 경험, 영업, 글로벌, 인재"
0, 생산운영 ,"수도권 / 기계공학 / 학점 3.35 / 토익 830, 토스 Lv6","
1. Communication skills
2. Teamwork
3. Time management
4. Responsibility
5. Adaptability
6. Endurance
7. Leadership
8. Project management
9. Self-motivation
10. Commitment"
0, 일반 ,중경외시 / 학점 3.8 / 금융권 인턴경력 2회,"
국위선양, 노력, 뚝심, 자기계발, 성실성, 삼성, LG, 현대, 삼성갤럭시, 현대기아"
0, R&D ,서울 상위권 / 기계공학과 / 학점 3.7 / 토익스피킹 레벨 6 / 봉사활동 200시간,"
저비용, 고효율, 고품질, 신기술, 생산기술, 이해력, 실전 경험, 도전적, 해외선진국, 사물인터넷 제품"
0, 지역인재 ,"외대 글캠 / 경제학 / 학점 3.5 / 토익: 870, 토익스피킹: 7, 오픽: , 기타: / 사회생활 경험: / 한국사검정시험: 고급, 컴퓨터활용능력: 1급, 기타:","

농어촌공사의 주요 사업인 농어업 분야 중 스마트팜에 관심있는 분야입니다. 현재 농업은 ICT 기술의 발전으로 인해 스마트팜으로 진화하고 있습니다. 스마트팜은 센서를 이용하여 토양, 수분, 온도 등의 데이터를 실시간으로 측정하고, 빅데이터와 인공지능 기술을 통해 최적의 조건을 제공함으로써 농작물의 생산성을 높이는 농업 방식입니다.
농어촌공사는 스마트팜 기술을 활용하여 농업 생산성을 높이고 농촌 경제 발전에 기여할 수 있습니다. 또한, 스마트팜 기술"
0, 영업 ,"조선대 / 선박해양공학과 / 학점 3.61 / 토익: 520, 오픽: im1 / 사회생활 경험: 광주은행 / 독서골든벨 은상, book기행 우수상, 문화리더 장학생 / 한국사검정시험: 고급, 기타: 식스 시그마 greenbelt","
지원동기, 새로운 도전, 성장, 체력, 독서, 태권도, 안목, 버팀목, 기획, 문제점 개선"
0, 기획관리직군 ,SKY / 비상경 / 학점 3.84 / 토익 960,"
People skills, Interpersonal skills, Communication skills, Empathy, Understanding, Strategy, Research, Market analysis, Problem-solving, Planning"
0, 연구직 ,수도권 / 화학공학 / 학점 4.03 / 토익 890 / 현대오일뱅크 인턴,"

삼성, 입사, 회사, 직종, 화학공학, 적극성, 긍정적, 남학생, 천재, 전지사업"
